year,cumulative_us_cap,us_cap,us_cap_in_CAISO,us_cap_in_ERCOT,us_cap_in_SPP,us_cap_in_MISO,us_cap_in_PJM,us_cap_in_NYISO,us_cap_in_ISO_NE,us_cap_west,us_cap_southeast,us_cap_noncontiguous
1998,1.512,0.14232,0,0,0.00216,0.11343,0,0,0,0.026729999999999997,0,0
1999,2.431,0.89247,0.25442,0.14432,0.0035700000000000003,0.38931,0,0,0,0.09307499999999999,0,0.000575
2000,2.502,0.070955,0.01,0,0,0.01188,0.0104,0.01815,0,0.018345000000000004,0.00198,0.0001
2001,4.195,1.692,0.06659999999999999,0.8309200000000001,0.196426,0.14229000000000003,0.024,0.03,0.00066,0.39956,0,0
2002,4.603,0.409,0.10242,0,0.0027080000000000003,0.11573,0.066,0.00025,0,0.12340000000000001,0,0.0001
2003,6.268,1.665,0.2025,0.1975,0.18131999999999998,0.32762,0.1485,0,0,0.6073160000000001,0.0001,0
2004,6.665,0.396,0.09353000000000002,0,0.06,0.20461800000000002,0.0036,0,0,0.0075,0.027,0.00015
2005,9.046,2.382,0.05975,0.6717600000000001,0.6476,0.35576,0.062145000000000006,0.13695,0.0001,0.44005,0,0.0003
2006,11.512,2.466,0.212,0.7337,0.2005,0.33038,0.050225,0.18480000000000002,0.013470000000000001,0.6876,0,0.040775000000000006
2007,16.765,5.253,0.063,1.5366,0.4072,0.86195,0.7067,0.0545,0.0345,1.5670500000000003,0,0.021
2008,25.135,8.37,0.089,2.5615,0.8942999999999999,3.06181,0.5397000000000001,0.282,0.029799999999999997,0.9026,0,0.0017250000000000002
2009,35.13,9.997,0.161225,2.01916,1.0691,1.7644499999999996,1.7202579999999998,0.5675,0.13764999999999994,2.56015,0.0001,0.0056
2010,40.346,5.218,0.4395,0.65397,0.8298000000000002,0.8875200000000001,0.9772000000000003,0.0002,0.09809999999999998,1.3317,0,0.002
2011,46.779,6.604,0.9233000000000001,0.1995,1.0231000000000001,2.0381,0.56725,0.12855,0.1983,1.7114500000000001,0,0.03
2012,60.067,13.34,1.6581799999999998,1.50408,3.0378499999999997,2.246855,1.612355,0.2367,0.316975,2.2355750000000003,0,0.2871
2013,61.137,1.087,0.26911,0.1411,0.32855,0.22135,0.0043,0.08424000000000001,0.0033599999999999997,0.0318,0,0.0035250000000000004
2014,65.874,4.857,0.1069,1.54939,1.2412,1.132408,0.24175,0.025920000000000002,0.00915,0.5471200000000002,0,0
2015,73.891,8.599,0.19390000000000002,3.5954800000000002,2.7406599999999997,1.08,0.36210000000000003,0.0011,0.1925,0.42879999999999996,0,0
2016,82.037,8.232999999999999,0,2.6109400000000003,3.117235,1.278797,0.42869999999999997,0.0777,0.3407,0.34855,0,0
2017,88.964,7.017,0.0497,1.946315,2.363985,1.04367,0.80625,0.0015,0.054299999999999994,0.7475,0,0.0033
2018,96.383,7.588,0.32985000000000003,2.1244,1.9669749999999997,1.6901499999999998,0.5095,0.1584,0.0225,0.7857099999999999,0,0.0009
2019,105.591,9.132,0.13279999999999997,3.45537,1.2129699999999999,3.074305,0.6398550000000001,0,0.0384,0.57745,0,0.0009
2020,122.464,17.213,0.111,4.137174999999999,3.8824700000000005,4.11474,0.8360599999999999,0,0.0726,3.5524550000000006,0.4785,0.027600000000000003
2021,135.886,13.413,0.28845,3.3430849999999994,3.91905,2.7545399999999995,0.6257050000000001,0.2052,0.0152,2.2619000000000002,0,0
2022,144.173,8.511081999999998,0.07233999999999999,3.3599520000000003,3.1817299999999995,0.9220299999999998,0,0,0.02,0.9550299999999995,0,0
